schedule2,0.6434783000000001,20,525,80
Gaussian,0.46470580000000006,9,218,4
Stack,0.5125,4,93,11
date-plus,0.6433333,23,485,31
RecursiveSelectionSort,0.5857144,4,111,9
print_tokens2,0.54375,12,948,146
countPositive,0.9333334000000001,3,31,2
replace,0.6634924,53,2221,425
stats,0.7666667,5,177,19
totinfo,0.8560000000000001,29,1340,126
trashAndTakeOut,0.71,8,120,5
oddOrPos,0.6599999999999999,3,73,19
cal,0.857143,6,179,16
jday-jdate,0.72,14,565,15
CheckPalindrome,0.6166668,4,34,2
boundedQueue,0.7571431,8,225,21
Heap,0.7285717,5,216,13
Calculation,0.7923079000000001,10,224,23
numZero,0.8000002,2,31,3
findLast,0.9800000000000001,5,40,1
UnixCal,0.7857145,18,970,65
findVal,0.8,4,38,3
schedule,0.6909092,20,422,44
LRS,0.7999999,5,227,49
InversePermutation,0.6285716,6,116,15
power,0.62,4,54,4
DigitReverser,0.5333334,2,100,8
testPad,0.6375,7,126,9
tcas,0.6833332999999999,31,477,84
twoPred,0.5625,5,50,4
pcal,0.8342855,33,1284,136
sum,0.675,3,33,2
quicksort,0.7,5,206,12
MergeSort,0.5642857,9,199,8
checkIt,0.6428573,5,21,1
printPrimes,0.43333320000000003,3,143,15
print_tokens,0.6210525,15,867,108
lastZero,0.825,3,35,2
Queue,1.0,8,94,2
