schedule2,0.326087,10,162,28
Gaussian,0.20000010000000001,4,29,0
Stack,0.6,5,51,9
date-plus,0.45666650000000003,16,107,4
RecursiveSelectionSort,0.1571427,1,16,2
print_tokens2,0.38125,7,273,37
countPositive,0.4999999,2,8,0
replace,0.2888886,22,332,42
stats,0.2833331,1,20,2
totinfo,0.33999999999999997,13,162,14
trashAndTakeOut,0.42000000000000004,5,22,2
oddOrPos,0.52,2,11,2
cal,0.5,3,16,2
jday-jdate,0.2933335,6,70,4
CheckPalindrome,0.46666660000000004,3,8,0
boundedQueue,0.44285699999999995,5,53,4
Heap,0.4571427,3,53,5
Calculation,0.5153846,6,45,6
numZero,0.43333320000000003,1,8,0
findLast,0.58,3,9,0
UnixCal,0.35714250000000003,8,151,5
findVal,0.3,1,5,0
schedule,0.3772725,10,159,20
LRS,0.5500001,3,43,6
InversePermutation,0.3428569,3,14,0
power,0.36,2,10,0
DigitReverser,0.29999980000000004,1,23,2
testPad,0.3375,4,18,1
tcas,0.3000001,13,53,6
twoPred,0.2625,2,8,1
pcal,0.41428580000000004,18,182,5
sum,0.225,1,5,0
quicksort,0.3,2,24,1
MergeSort,0.2214286,3,28,1
checkIt,0.2428569,2,6,0
printPrimes,0.1999998,2,29,2
print_tokens,0.45263159999999997,11,246,30
lastZero,0.25,1,8,0
Queue,0.8714287000000001,7,52,0
