schedule2,0.2478262,8,53,6
Gaussian,0.2705884,5,22,1
Stack,0.475,4,10,1
date-plus,0.2733335,10,49,4
RecursiveSelectionSort,0.2428569,2,12,1
print_tokens2,0.225,5,95,18
countPositive,0.3999998,1,4,1
replace,0.2904759,21,223,42
stats,0.26666650000000003,1,18,2
totinfo,0.268,10,134,10
trashAndTakeOut,0.36,4,12,1
oddOrPos,0.36,2,8,1
cal,0.6000002,4,18,2
jday-jdate,0.3266665,6,57,2
CheckPalindrome,0.3499999,2,4,1
boundedQueue,0.4857143,5,23,5
Heap,0.44285690000000005,3,22,2
Calculation,0.6384619,8,23,3
numZero,0.43333320000000003,1,4,1
findLast,0.58,3,4,0
UnixCal,0.3047616,7,97,3
findVal,0.2,1,4,0
schedule,0.3227273,8,43,5
LRS,0.39999989999999996,2,23,3
InversePermutation,0.3714285,3,12,2
power,0.27999999999999997,2,6,1
DigitReverser,0.29999980000000004,1,10,0
testPad,0.275,3,13,2
tcas,0.24444439999999998,13,48,10
twoPred,0.275,2,5,0
pcal,0.1942857,9,129,21
sum,0.175,1,4,0
quicksort,0.38,3,21,1
MergeSort,0.2285714,3,20,0
checkIt,0.2571426,2,3,0
printPrimes,0.1999998,2,15,1
print_tokens,0.305263,8,87,12
lastZero,0.5,2,4,0
Queue,0.5857145,5,10,0
