schedule2,0.1391306,4,8,0
Gaussian,0.0,0,0,0
Stack,0.0,0,0,0
date-plus,0.053333399999999996,2,4,0
RecursiveSelectionSort,0.14285699999999998,1,4,0
print_tokens2,0.0,0,0,0
countPositive,0.0,0,0,0
replace,0.1666665,12,76,2
stats,0.29999980000000004,2,4,0
totinfo,0.064,2,16,2
trashAndTakeOut,0.3,3,12,0
oddOrPos,0.38,1,4,2
cal,0.35714250000000003,2,12,0
jday-jdate,0.1533333,3,88,0
CheckPalindrome,0.0,0,0,0
boundedQueue,0.2571426,3,22,1
Heap,0.44285699999999995,3,22,1
Calculation,0.07692299999999999,1,2,0
numZero,0.0,0,0,0
findLast,0.4,2,2,0
UnixCal,0.1523808,4,60,0
findVal,0.0,0,0,0
schedule,0.054545699999999996,1,2,0
LRS,0.5500001,4,14,4
InversePermutation,0.0,0,0,0
power,0.12,1,2,0
DigitReverser,0.1999998,1,14,0
testPad,0.2125,3,6,1
tcas,0.0361113,2,2,0
twoPred,0.075,1,2,0
pcal,0.0714286,5,64,3
sum,0.125,1,2,0
quicksort,0.3,2,4,0
MergeSort,0.1500002,2,12,0
checkIt,0.0,0,0,0
printPrimes,0.1999998,2,6,1
print_tokens,0.10526329999999999,3,14,0
lastZero,0.0,0,0,0
Queue,0.0,0,0,0
