schedule2,0.3652174,12,118,17
Gaussian,0.2000002,4,74,0
Stack,0.375,3,14,0
date-plus,0.48666669999999995,18,96,1
RecursiveSelectionSort,0.3714282,3,42,5
print_tokens2,0.68125,13,146,21
countPositive,0.7000001,3,10,0
replace,0.48253959999999996,36,500,71
stats,0.6333333999999999,4,50,10
totinfo,0.528,18,284,29
trashAndTakeOut,0.67,7,28,0
oddOrPos,0.6,3,18,4
cal,0.6857146000000001,5,36,0
jday-jdate,0.5599999,10,56,6
CheckPalindrome,0.29999980000000004,2,12,2
boundedQueue,0.7285717,7,60,2
Heap,0.5428574,4,62,2
Calculation,0.8000002,10,66,9
numZero,0.666667,2,10,0
findLast,0.6599999999999999,3,12,1
UnixCal,0.7523812000000001,16,124,11
findVal,0.52,3,14,0
schedule,0.44545440000000003,12,102,1
LRS,0.6833332000000001,4,78,26
InversePermutation,0.5857145,5,42,0
power,0.36,2,14,0
DigitReverser,0.7666668999999999,2,18,0
testPad,0.3375,3,32,3
tcas,0.4611111,19,72,19
twoPred,0.275,2,10,2
pcal,0.5057142,21,258,28
sum,0.25,1,12,2
quicksort,0.72,4,74,6
MergeSort,0.2714286,4,62,7
checkIt,0.5,3,6,0
printPrimes,0.1999998,1,32,3
print_tokens,0.5210527,12,182,19
lastZero,0.5,2,12,0
Queue,0.22857120000000003,3,14,0
