schedule2,0.0739132,3,19,4
Gaussian,0.052941499999999996,1,5,0
Stack,0.2,1,2,0
date-plus,0.12666660000000002,5,18,3
RecursiveSelectionSort,0.0999999,1,2,1
print_tokens2,0.23125,4,41,11
countPositive,0.1999998,1,1,0
replace,0.1873014,14,76,12
stats,0.2833331,1,3,0
totinfo,0.192,7,36,5
trashAndTakeOut,0.37,4,7,0
oddOrPos,0.38,1,4,2
cal,0.2142855,1,5,2
jday-jdate,0.2400001,5,38,3
CheckPalindrome,0.0,0,0,0
boundedQueue,0.22857120000000003,2,8,0
Heap,0.3428569,2,15,3
Calculation,0.2615382,3,9,3
numZero,0.333333,1,1,0
findLast,0.38,2,2,0
UnixCal,0.2333331,5,50,1
findVal,0.0,0,0,0
schedule,0.1136366,3,11,3
LRS,0.3499999,2,6,3
InversePermutation,0.07142849999999999,1,1,0
power,0.16,1,1,0
DigitReverser,0.1999998,1,8,2
testPad,0.125,1,2,0
tcas,0.10833319999999999,4,7,2
twoPred,0.1125,1,1,0
pcal,0.13999999999999999,8,46,2
sum,0.0,0,0,0
quicksort,0.26,1,2,0
MergeSort,0.10714300000000002,1,5,1
checkIt,0.0,0,0,0
printPrimes,0.1999998,1,4,1
print_tokens,0.1263158,3,19,4
lastZero,0.25,1,1,0
Queue,0.042857099999999995,1,1,0
